//CSV contenant les positions et les vitesses de N=10 particules évoluant dans un espace infini durant T=1000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4,x5,y5,vx5,vy5,x6,y6,vx6,vy6,x7,y7,vx7,vy7,x8,y8,vx8,vy8,x9,y9,vx9,vy9
500,-5018.00,-66.99,-10.00,0.00,4526.01,937.99,9.00,2.00,-957.95,3459.28,-2.00,7.00,-5014.00,5011.00,-10.00,10.00,3416.48,-73.77,7.00,0.00,2557.00,-530.00,5.00,-1.00,592.08,-1939.60,1.12,-3.88,5072.00,444.00,10.00,1.00,-4573.00,5073.00,-9.00,10.00,562.03,-2544.04,1.00,-5.00
510,-5118.00,-66.99,-10.00,0.00,4616.01,957.98,9.00,2.00,-977.97,3529.30,-2.00,7.00,-5114.00,5111.00,-10.00,10.00,3486.47,-73.76,7.00,0.00,2607.00,-540.00,5.00,-1.00,603.27,-1978.36,1.12,-3.88,5172.00,454.00,10.00,1.00,-4663.00,5173.00,-9.00,10.00,572.03,-2594.05,1.00,-5.00
520,-5218.00,-66.99,-10.00,0.00,4706.01,977.98,9.00,2.00,-997.98,3599.33,-2.00,7.00,-5214.00,5211.00,-10.00,10.00,3556.46,-73.76,7.00,0.00,2657.00,-550.00,5.00,-1.00,614.46,-2017.13,1.12,-3.88,5272.00,464.00,10.00,1.00,-4753.00,5273.00,-9.00,10.00,582.03,-2644.05,1.00,-5.00
530,-5318.00,-66.99,-10.00,0.00,4796.01,997.98,9.00,2.00,-1018.00,3669.35,-2.00,7.00,-5314.00,5311.00,-10.00,10.00,3626.45,-73.75,7.00,0.00,2707.00,-560.00,5.00,-1.00,625.64,-2055.89,1.12,-3.88,5372.00,474.00,10.00,1.00,-4843.00,5373.00,-9.00,10.00,592.03,-2694.05,1.00,-5.00
540,-5418.00,-66.99,-10.00,0.00,4886.01,1017.98,9.00,2.00,-1038.02,3739.38,-2.00,7.00,-5414.00,5411.00,-10.00,10.00,3696.44,-73.75,7.00,0.00,2757.00,-570.00,5.00,-1.00,636.83,-2094.66,1.12,-3.88,5472.00,484.00,10.00,1.00,-4933.00,5473.00,-9.00,10.00,602.03,-2744.05,1.00,-5.00
550,-5518.00,-66.99,-10.00,0.00,4976.01,1037.98,9.00,2.00,-1058.04,3809.40,-2.00,7.00,-5514.00,5511.00,-10.00,10.00,3766.43,-73.74,7.00,0.00,2807.00,-580.00,5.00,-1.00,648.02,-2133.42,1.12,-3.88,5572.00,494.00,10.00,1.00,-5023.00,5573.00,-9.00,10.00,612.03,-2794.05,1.00,-5.00
560,-5618.00,-66.99,-10.00,0.00,5066.01,1057.98,9.00,2.00,-1078.06,3879.43,-2.00,7.00,-5614.00,5611.00,-10.00,10.00,3836.42,-73.74,7.00,0.00,2857.00,-590.00,5.00,-1.00,659.20,-2172.19,1.12,-3.88,5672.00,504.00,10.00,1.00,-5113.00,5673.00,-9.00,10.00,622.03,-2844.05,1.00,-5.00
570,-5718.00,-66.99,-10.00,0.00,5156.01,1077.98,9.00,2.00,-1098.08,3949.46,-2.00,7.00,-5714.00,5711.00,-10.00,10.00,3906.41,-73.73,7.00,0.00,2907.00,-600.00,5.00,-1.00,670.39,-2210.95,1.12,-3.88,5772.00,514.00,10.00,1.00,-5203.00,5773.00,-9.00,10.00,632.03,-2894.05,1.00,-5.00
580,-5818.00,-66.99,-10.00,0.00,5246.01,1097.98,9.00,2.00,-1118.10,4019.48,-2.00,7.00,-5814.00,5811.00,-10.00,10.00,3976.40,-73.73,7.00,0.00,2957.00,-610.00,5.00,-1.00,681.58,-2249.72,1.12,-3.88,5872.00,524.00,10.00,1.00,-5293.00,5873.00,-9.00,10.00,642.03,-2944.05,1.00,-5.00
590,-5918.00,-66.99,-10.00,0.00,5336.01,1117.98,9.00,2.00,-1138.12,4089.51,-2.00,7.00,-5914.00,5911.00,-10.00,10.00,4046.39,-73.72,7.00,0.00,3007.00,-620.00,5.00,-1.00,692.76,-2288.48,1.12,-3.88,5972.00,534.00,10.00,1.00,-5383.00,5973.00,-9.00,10.00,652.03,-2994.05,1.00,-5.00
