//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones.
// Simulation de N = 100 particules pendant T = 10000 tours.
// Ce CSV contient 1000 tours sur les 10000.
// Les constantes sont normalisées ; espilon = 1, sigma = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
16,-5.71,8.69,-6764610.77,1492932.40,-104077335.93,22940344.14
17,5.13,-4.74,293488.07,-8667.67,5978227.17,590526.29
18,19.08,-13.33,1091.21,-1641.58,13924.69,-19585.19
19,8.93,-5.84,-9.70,-4.60,-133.17,-1023.71
20,18.40,9.98,57602270.18,393568615.54,596458154.31,4368244133.51
21,-12.62,15.33,-2426461160544256.50,-2446494894267611.00,-485292232108429504.00,-489298978853958528.00
22,-4.38,-18.05,-10332918.01,-26015110.67,-150540128.89,-284844964.57
23,-18.27,-12.83,-505164557.01,-108985229.83,-4395413466.48,-940723440.16
24,2.61,15.78,377884964530.33,477801428525.84,25192330971463.43,31853428530123.48
25,-13.37,-15.15,-2797235024977.49,-160887129323.86,-24319954657603.75,-1387729555757.73
26,17.08,3.57,4490010160167.41,4452842109429.70,179600406450787.56,178113684385913.59
27,10.91,17.95,24161.75,59573.16,433109.82,1117152.10
28,-9.64,-6.05,-1000151453.93,-2357858130.54,-11654196444.29,-28674525451.39
29,-7.78,-13.14,-659806993061.76,-1276969617518.44,-18851629023486.95,-36484841051327.90
30,-5.59,-16.63,-11778805340.77,-5586251598.64,-181236726261.89,-85920309746.84
31,1.38,6.25,353092109250.66,1345827826916.94,3070299467972.98,11702495085664.75
32,-2.48,-1.98,-1227492062.43,-1921936209.85,-30442588016.89,-43010526439.27
33,16.53,-10.25,5646484.34,-3827054.78,53804381.73,-36483925.02
34,3.90,-8.09,255.77,-1098.96,2380.45,-14691.71
35,-0.39,18.59,127488444184041.94,40756189673960.23,26212366131222324.00,8103000373348952.00
36,17.87,3.26,3690844046.04,1357876140.35,78892297331.59,18912104271.02
37,-1.95,4.98,-27774253667.36,381198018670.78,-2362764419486.41,3186988034182.96
38,13.73,-15.41,289816.67,-280416.11,11609815.86,-11198828.50
39,-8.00,-7.50,-14403060156726081536.00,-173416511380869248.00,-125244001362879397888.00,-1507969664172302336.00
40,7.92,4.63,316930.25,537824.46,3616948.44,6475291.43
41,-4.73,2.08,-7271855.27,2909630.83,-206856910.79,76951967.37
42,14.04,-13.71,3332798600496.38,-224296360486.91,26662389297313.64,-1794370550284.59
43,-0.17,-17.22,-60628.63,-286353.23,-1522280.99,-6157301.30
44,-6.86,0.65,-14463765.71,69207944.90,-259764966.42,1047645284.28
45,-13.33,9.55,-3422074704.04,5663915907.32,-32592525217.74,53951001842.33
46,-1.87,1.95,-95200649.26,-7489513.55,-19007469884.76,-1539982513.28
47,16.41,-8.40,198898609.97,-324570244.74,13259878383.64,-21638097791.23
48,6.06,12.41,9173644688114.29,20204991257076.05,79770707067628.84,175695628107845.12
49,-17.71,1.63,-218946233980073.69,164221664977691.16,-6255606685320786.00,4692047570952129.00
50,2.04,18.70,7279383432761982.00,7339485140909796.00,485292226052206144.00,489298987904482368.00
51,10.35,15.24,4431278.55,430776.12,-2068279.52,33635504.96
52,5.40,10.01,2518.17,1852.34,25965.05,13923.69
53,-17.21,-18.46,-180116.15,-353226.67,-7328149.72,-14082660.04
54,-9.92,18.83,-90433643.47,89431361.53,-924875824.02,-381726940.66
55,10.62,-14.46,12353376.56,-19599221.67,145413740.80,-230637098.36
56,-16.76,-8.92,-383883133342.95,-1463322138155.36,-3071065301858.63,-11706573724657.42
57,16.07,19.07,13595754155.02,6441358438.64,181277481867.88,85884167239.92
58,-0.12,-2.40,-393718780621988.62,-121526538729117.12,-26247924445194572.00,-8101762108452562.00
59,1.18,-5.80,28186731.86,-4948293.02,237873442.24,-41767738.28
60,-7.76,9.52,-2602191.64,226028.83,-27546728.49,2274786.33
61,10.30,7.42,1217870331.09,1560884235.71,27129885754.72,34685254325.14
62,-7.04,-9.04,-2763559581928.14,-733562850592.94,-34639420524988.53,526199108267.53
63,4.66,1.44,-64672698647862544.00,106610373846791888.00,-12934539834995503104.00,21322074746606333952.00
64,9.87,-2.89,2805785.95,-296746.75,26740379.12,-2823679.44
65,2.89,6.15,95.81,154.73,6335.16,10394.79
66,13.07,9.67,5345335753872381.00,176012717743567.09,50920294624881512.00,1679817295665675.25
67,-18.52,19.54,-3918291557.78,4766015487.67,-37317203256.65,45390796368.37
68,11.75,7.62,307599229.26,795218707.69,3235365240.63,8369661620.77
69,4.00,15.25,15655660381038383104.00,188503852845297856.00,125245687782971637760.00,1508050150679409664.00
70,-1.96,12.95,-957662.06,6333408.70,-7123353.42,46879124.39
71,17.54,-0.12,285442789.77,-349484634.74,3007072866.03,-3684943222.23
72,4.52,14.82,722488326582.60,2966712064473.34,28899529633637.66,118668479910184.72
73,12.54,13.79,245958286.63,87133581.26,3795567200.02,1342300268.46
74,-9.15,-6.83,-149.25,81.47,-31129.30,5463.90
75,-13.83,-8.42,-5850869019793568.00,-191767949033009.34,-50877121911161968.00,-1667547382887159.25
76,14.71,-3.01,281502386970231.69,-211142203027157.44,6255612518269199.00,-4692051530317043.00
77,-0.43,-5.22,-1011514060653.92,-4153391171280.36,-28899766635718.75,-118668432817688.45
78,-7.77,7.43,-15724502772.37,106396056401.65,-285900090214.94,1934473778834.37
79,-11.73,11.13,-5917439.56,5447777.09,-169078837.79,155652143.35
80,16.57,-15.66,1912436.15,-874098.62,76517579.41,-34972489.16
81,-11.52,4.78,-4502166.89,4048203.64,-39148991.16,35199809.02
82,11.07,-18.34,35740090.60,-14243765.97,428220095.85,-86762055.56
83,4.97,-1.08,55.21,-5.89,2978.66,-763.40
84,12.69,-7.60,203728.87,-147209.33,3704534.64,-2677866.75
85,-1.51,2.07,-48148017.57,45460948.78,-650003168.12,608185404.78
86,-14.06,-19.72,-7151.45,-14555.16,-73020.23,-179083.36
87,6.67,-9.02,59788728.54,-61200673.03,697186881.15,-708585050.18
88,19.19,-9.00,735934.77,-363806.19,7741334.75,-3831515.80
89,-7.87,12.48,-6572.60,1780.49,-103557.50,14013.65
90,18.49,-14.50,27542409177.74,-167955233825.29,299719258853.29,-1968964166076.94
91,-12.24,7.65,-37264054.26,26907623.24,-377513936.24,307048946.19
92,-2.30,-0.17,-636907915.35,145402611.42,-127381582603.80,29080522537.26
93,1.92,-14.81,1005211.75,-4049345.35,22858658.82,-87428547.14
94,16.13,-0.92,80732080.06,-73390308.02,1883527363.17,-1684984366.26
95,4.26,-5.91,3748957901.49,-6209760895.02,32599673680.33,-53997933934.18
96,-4.20,-14.98,-9971659796413.46,-21961565505879.32,-79773623861494.83,-175691994936327.66
97,6.64,19.32,1708165.76,914621.63,55450319.84,26165473.02
98,-10.74,-14.74,-6286015033347.75,-6233939678622.11,-179600438847406.00,-178112113284375.94
99,-14.25,14.99,-2466185133.47,2567009544.16,-32893405554.48,34246516983.72
###### Tour 30 ######
0,-nan,-nan,-nan,-nan,-nan,-nan
1,-nan,-nan,-nan,-nan,-nan,-nan
2,-nan,-nan,-nan,-nan,-nan,-nan
3,-nan,-nan,-nan,-nan,-nan,-nan
4,-nan,-nan,-nan,-nan,-nan,-nan
5,-nan,-nan,-nan,-nan,-nan,-nan
6,-nan,-nan,-nan,-nan,-nan,-nan
7,-nan,-nan,-nan,-nan,-nan,-nan
8,-nan,-nan,-nan,-nan,-nan,-nan
9,-nan,-nan,-nan,-nan,-nan,-nan
10,-nan,-nan,-nan,-nan,-nan,-nan
11,-nan,-nan,-nan,-nan,-nan,-nan
12,-nan,-nan,-nan,-nan,-nan,-nan
13,-nan,-nan,-nan,-nan,-nan,-nan
14,-nan,-nan,-nan,-nan,-nan,-nan
