//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones dans une boîte périodique 20 x 20.
// Simulation de N = 100 particules pendant T = 1000 tours.
// Ce CSV contient 1000 tours sur les 1000.
// Constantes : sigma^2 = 10, espilon = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
56,6.96,-1.17,-557.66,72523.21,-3639365.07,483493485.84
57,-4.13,4.13,73086.28,-73094.76,487250440.08,-487266905.34
58,5.00,4.80,2.05,71957.21,84543.33,479714387.63
59,-5.16,-6.04,72494.89,240000000007271232296032888275553480318819403106265071616.00,482883414.03,4800000000145424450789137278368117117938853176452138254991360.00
60,12.80,3.92,71991.96,-1124.16,480366267.57,-7464959.73
61,0.91,2.16,73580.99,-72528.34,489709709.92,-483521336.80
62,-6.96,3.96,561.44,-603.55,3704066.71,-4440029.24
63,2.20,-1.80,-71907.74,-95958.32,-478618675.96,-959518480.48
64,0.07,2.80,1129.36,71954.58,7600360.48,479695928.24
65,-5.13,-3.93,73160.06,1112.98,488559787.83,7420142.80
66,-2.00,-2.00,8.48,10.27,56567.30,61772.66
67,-7.63,1.76,-144584.51,71528.74,-965080303.95,478490845.50
68,-6.96,-4.16,578.89,72567.23,3826403.98,484204912.68
69,-7.83,-3.96,29296875000887601598636827182074399452980884168245248.00,-23513.01,585937500017752008152970859175795546623395163141130158080.00,-477835145.88
70,4.00,8.92,-11.09,-1133.67,-72671.57,-7552643.79
71,2.16,0.96,-72513.52,-616.27,-483140897.18,-4970468.12
72,-3.84,-7.96,-72587.66,580.61,-484743390.30,3877862.61
73,4.96,0.76,-24558.33,47462.01,-483692384.40,-2945732.99
74,4.20,-5.60,1875000000056806502312756939652761564990776586767695872.00,-1875000000056806502312756939652761564990776586767695872.00,37500000001136128521790134987250914983897290441032330117120.00,-37500000001136128521790134987250914983897290441032330117120.00
75,1.96,0.84,-544.58,72481.73,-3205052.52,482449078.23
76,-2.95,-6.80,3072000000080796427650718580236115620715522456289280.00,6144000000147950988380696568868619469571387736195072.00,61440000001615921598493497658042465381591909739022778368.00,122880000002959007517448722223587704709941887180245827584.00
77,-4.13,1.80,73147.87,72008.22,488418922.59,480507991.08
78,-2.16,-7.96,96582.55,479.93,964625701.13,2055596.93
79,-10.72,8.00,-46792.09,-6.95,8725589.41,-114685.70
80,6.00,-5.00,17.16,24049.98,493101.31,480945422.26
81,1.04,8.89,-23492.47,-1693.03,-477287309.91,-11321109.40
82,2.13,-8.80,-29296875000887601598636827182074399452980884168245248.00,-71970.12,-585937500017752008152970859175795546623395163141130158080.00,-479761095.62
83,8.76,2.17,71402.17,-72582.89,476082507.03,-484714869.63
84,-3.00,2.00,228881835944434387489350212359956245726413157564416.00,-228881835944434387489350212359956245726413157564416.00,4577636718888687563695084837310902707995274712040079360.00,-4577636718888687563695084837310902707995274712040079360.00
85,-3.76,0.83,-71518.82,72487.96,-478419886.52,482836063.48
86,2.76,-5.96,71435.69,559.08,476655420.99,3686944.85
87,-12.76,0.04,29296875000887601598636827182074399452980884168245248.00,556.59,585937500017752008152970859175795546623395163141130158080.00,3715533.47
88,-3.00,-0.20,-13.21,72036.14,-161082.40,481068135.95
89,3.63,-1.96,144550.74,561.23,964505440.54,3743284.90
90,10.72,-3.20,46776.56,71942.82,-8901123.83,479274390.70
91,5.67,0.72,144985.34,46790.98,965769545.87,-8730671.04
92,-1.13,-5.00,73159.35,2.59,488557210.12,15752.23
93,8.92,2.67,-1123.18,145071.86,-7455392.93,967568623.75
94,0.60,-0.00,6144000000146052850802715709002112833089307404140544.00,3072000000080186312000653303850452773274853778128896.00,122880000002921048338853957696111438345733658572721487872.00,61440000001603725878463051223511938035661555166324195328.00
95,7.96,-0.96,-562.07,561.90,-3738720.03,3744528.34
96,-9.89,-1.76,25728.08,-71282.43,492130586.80,-473618272.81
97,4.96,-8.89,-569.67,1685.94,-3789229.60,11237874.88
98,8.96,7.83,-576.16,72513.98,-3911969.92,483426212.17
99,-1.00,3.20,-4.87,-71966.70,-38994.75,-479777981.90
###### Tour 3 ######
0,-11.60,-0.00,-129634027362.52,188386786663.86,-2592679587641836.50,3767735733653767.00
1,9.00,-9.00,-205749.82,73535.34,-4114808905.94,1470223884.98
2,7.90,2.89,46758.07,-1004.62,-37787202.27,-5071615.26
3,9.40,2.76,110660394644.44,-50849647671.38,2213205971491517.50,-1016992920804909.12
4,-4.90,-14.49,416091.52,240121.65,8309537187.31,5748090168.83
5,3.69,-8.00,242302.82,-480000000014542464592065776551106960637638806212530143232.00,34647106.67,-28909793.83
6,5.86,-11.50,-34497329434516.64,-62711395709301.31,-689946588670237568.00,-1254227912252766976.00
7,9.00,7.00,-4609.56,242746.64,-91839756.83,4854960531.89
8,-3.11,-1.70,-4351.46,-48803.76,-72540069.71,-2462957.42
9,-18.18,-10.79,-16209739962.15,6195139795.45,-324191923232962.12,123903753968850.33
10,4.92,-15.28,48570.86,-95022.87,-5489836.02,3594376.03
11,-2.39,3.98,-90218.52,-57217.68,114176197.64,-154701170.76
12,5.76,1.00,-5113100875.93,-5560716651.50,-102261985101595.77,-111214333537877.58
13,7.00,4.20,-57720462402310.59,-257021670292328.72,-1154409248045792512.00,-5140433404885689344.00
14,-4.00,-0.00,-58593750001775203197273654364148798905961768336490496.00,1365887.69,80909277340.20,27317996453.91
15,-2.78,4.78,171.70,-2850.43,-26293113.47,-27233277.37
16,-19.40,12.40,-61495.79,63754.09,690318642.13,-644992461.54
17,-5.00,8.62,24126074517.56,197919469696.13,482521490178397.25,3958387443678979.50
18,0.00,0.00,12288000000372290051223160683121274923282966314483712.00,6144000000186145025611580341560637461641483157241856.00,-2740549249927004.50,4000352756646386.50
19,10.41,-6.81,34497329577998.54,62711395569337.73,689946588652347136.00,1254227912349528832.00
20,4.52,6.50,140746.23,-728580.82,878345039.55,-16503685284.13
21,-3.50,-10.51,-85864.06,-88468.56,215313688.75,164562410.61
22,-5.22,-5.62,-31348114928067.84,-56990698302311.29,-626962298531698432.00,-1139813964095952768.00
23,4.22,-1.00,-13987.35,-12162.83,-309348834.08,-243376734.65
24,-0.89,1.28,734.85,95202.85,2039.06,-8550.86
25,-1.03,1.78,-50063.11,-1442.65,-10768957.78,1176804.48
26,-10.00,16.38,-140.29,96089.47,-2998660.39,5038929.80
27,-5.92,-11.69,-98985.60,-46008.29,-17122384.23,25419765.43
28,-7.51,-0.09,148475.60,56857.31,4903878569.10,162496291.73
29,-15.50,-3.31,28235.27,74018.97,1512669903.74,534402803.18
30,-13.51,3.89,-30194530598.24,17024656541.48,-603888676815889.38,340493146030468.69
31,-4.00,-12.00,-12288000000292105701605431418004225666178614808281088.00,-6144000000160372624001306607700905546549707556257792.00,-1995574863.93,15542891125.59
32,-9.62,-7.40,-1501931.99,19723249.53,-28089803516.89,396385389212.65
33,-5.79,-10.00,-47989.58,108.26,-1538053.80,1991040.82
34,-8.00,-8.00,-6144000000161592855301437160472231241431044912578560.00,-12288000000295901976761393137737238939142775472390144.00,73985938.91,17300192.36
35,3.11,8.28,59543.65,47704.11,1176154691.83,-949053760.98
36,-14.14,12.30,-168606.54,218206.78,-2366023596.35,1471699648.31
37,0.80,-9.77,154393.91,447048.22,2126979446.40,8910854027.99
38,-0.00,-0.00,-12288000000372290051223160683121274923282966314483712.00,-6144000000186145025611580341560637461641483157241856.00,-28155031.92,190399682.09
39,-6.60,-18.17,70142.21,39854.02,2363590182.10,2686190741.07
40,-1.98,2.79,49177.75,12614.81,-6107191.87,278821816.44
41,-4.76,2.03,296598.42,-75252.37,5898307327.94,-1509947241.30
42,15.40,-12.57,95766.28,-48068.76,-4748919.88,-6033456.77
43,-6.89,-9.28,129629763800.19,-188386722964.66,2592595260955976.50,-3767732554891029.50
44,-8.00,8.00,-457763671888868774978700424719912491452826315128832.00,457763671888868774978700424719912491452826315128832.00,-2242573.18,-9075370156.84
45,3.00,-4.77,-246232.20,-19157.17,-4924344449.18,-414337565.54
46,-14.43,-1.78,-30274968527376.91,326037998134856.62,-605499367636513536.00,6520759962667058176.00
47,7.50,8.11,242049415356517.06,-53171423790628.38,4840988305197601792.00,-1063428475827344640.00
48,-17.49,6.89,-96517.51,-68133.91,893917.22,-1348473171.89
49,-16.00,16.00,-3750000000113613004625513879305523129981553173535391744.00,3750000000113613004625513879305523129981553173535391744.00,-16077014.18,13887265.71
50,3.89,0.29,-16859.94,83300.97,-323225568.44,-240481219.78
51,6.70,4.69,68748.53,181006.49,402705055.00,2674191980.62
52,-4.89,-10.51,-24126063856.80,-197919464690.26,-482521292028325.19,-3958387359476689.50
53,-7.78,-9.78,45150.58,116937.93,873106950.61,2308826996.45
54,14.40,-3.77,96043.28,1456.35,314196.56,-940303.59
55,-7.11,0.89,140021.57,-1500787.68,2815080082.91,-30000949952.57
56,6.89,8.50,57720462416972.96,257021670342807.06,1154409248354251776.00,5140433404922182656.00
57,5.62,-5.62,46404073155.76,-23219950875.29,928079514139266.00,-464397068343756.94
58,5.00,14.39,-584304.35,-4192111.17,-11686212529.12,-85761081878.82
59,4.50,8.00,31348115572360.51,480000000014542464592065776551106960637638806212530143232.00,626962309514428928.00,1139814048914006912.00
60,2.40,3.78,94049.00,-2995.57,-39225464.10,-29963233.59
61,10.72,-7.51,-524181.63,-29213.35,-12444962116.16,1349821121.36
